"time","Resources","Economy","Bureaucracy","Pollution","inflow","outflow1"
8.15,1,0.1,0.01,0.001,0.0995,0.0995
8.16,1,0.1,0.01,0.001,0.0995,0.0995
8.17,1,0.1,0.01,0.001,0.0995,0.0995
8.18,1,0.1,0.01,0.001,0.0995,0.0995
8.19,1,0.1,0.01,0.001,0.0995,0.0995
8.2,1,0.1,0.01,0.001,0.0995,0.0995
8.21,1,0.1,0.01,0.001,0.0995,0.0995
8.22,1,0.1,0.01,0.001,0.0995,0.0995
8.23,1,0.1,0.01,0.001,0.0995,0.0995
8.24,1,0.1,0.01,0.001,0.0995,0.0995
8.25,1,0.1,0.01,0.001,0.0995,0.0995
8.26,1,0.1,0.01,0.001,0.0995,0.0995
8.27,1,0.1,0.01,0.001,0.0995,0.0995
8.28,1,0.1,0.01,0.001,0.0995,0.0995
8.29,1,0.1,0.01,0.001,0.0995,0.0995
8.3,1,0.1,0.01,0.001,0.0995,0.0995
8.31,1,0.1,0.01,0.001,0.0995,0.0995
8.32,1,0.1,0.01,0.001,0.0995,0.0995
8.33,1,0.1,0.01,0.001,0.0995,0.0995
8.34,1,0.1,0.01,0.001,0.0995,0.0995
8.35,1,0.1,0.01,0.001,0.0995,0.0995
8.36,1,0.1,0.01,0.001,0.0995,0.0995
8.37,1,0.1,0.01,0.001,0.0995,0.0995
8.38,1,0.1,0.01,0.001,0.0995,0.0995
8.39,1,0.1,0.01,0.001,0.0995,0.0995
8.4,1,0.1,0.01,0.001,0.0995,0.0995
8.41,1,0.1,0.01,0.001,0.0995,0.0995
8.42,1,0.1,0.01,0.001,0.0995,0.0995
8.43,1,0.1,0.01,0.001,0.0995,0.0995
8.44,1,0.1,0.01,0.001,0.0995,0.0995
8.45,1,0.1,0.01,0.001,0.0995,0.0995
8.46,1,0.1,0.01,0.001,0.0995,0.0995
8.47,1,0.1,0.01,0.001,0.0995,0.0995
8.48,1,0.1,0.01,0.001,0.0995,0.0995
8.49,1,0.1,0.01,0.001,0.0995,0.0995
8.5,1,0.1,0.01,0.001,0.0995,0.0995
8.51,1,0.1,0.01,0.001,0.0995,0.0995
8.52,1,0.1,0.01,0.001,0.0995,0.0995
8.53,1,0.1,0.01,0.001,0.0995,0.0995
8.54,1,0.1,0.01,0.001,0.0995,0.0995
8.55,1,0.1,0.01,0.001,0.0995,0.0995
8.56,1,0.1,0.01,0.001,0.0995,0.0995
8.57,1,0.1,0.01,0.001,0.0995,0.0995
8.58,1,0.1,0.01,0.001,0.0995,0.0995
8.59,1,0.1,0.01,0.001,0.0995,0.0995
8.6,1,0.1,0.01,0.001,0.0995,0.0995
8.61,1,0.1,0.01,0.001,0.0995,0.0995
8.62,1,0.1,0.01,0.001,0.0995,0.0995
8.63,1,0.1,0.01,0.001,0.0995,0.0995
8.64,1,0.1,0.01,0.001,0.0995,0.0995
8.65,1,0.1,0.01,0.001,0.0995,0.0995
8.66,1,0.1,0.01,0.001,0.0995,0.0995
8.67,1,0.1,0.01,0.001,0.0995,0.0995
8.68,1,0.1,0.01,0.001,0.0995,0.0995
8.69,1,0.1,0.01,0.001,0.0995,0.0995
8.7,1,0.1,0.01,0.001,0.0995,0.0995
8.71,1,0.1,0.01,0.001,0.0995,0.0995
